,Country,after,treated,Wealth_ranking,Year,Life_Ladder,Log_GDP_per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
162,Hungary,0,0,2,2010,4.725132465,10.1058588,0.895693719,65.80000305,0.513835371,-0.1469879,0.98327601,0.574385524,0.234813049,0.251568109,European Union,5.1,6,156.927,10.7,88,99,26.8,99,99,0.08,11314,10,1.8,1.8,11.9,1,0,74.2
163,Hungary,0,0,2,2011,4.917602539,10.12712288,0.893662214,65.95999908,0.631100118,-0.090984076,0.939908028,0.586092055,0.304519564,0.35979417,European Union,4.9,5.9,149.61,11.37,88,99,26.9,99,99,0.08,11557,9.97,1.7,1.7,12,1,0,74.9
474,Iraq,0,1,2,2008,4.589844704,9.010554314,0.744366288,60.93999863,0.385769367,-0.058426142,0.909881651,0.532274425,0.448168784,0.476128489,Middle East,30.3,37.1,183.7195,0.17,66,76,27.8,71,69,0.13,3860,28.39,5.4,5.1,6.2,0,1,68.2
176,Iraq,0,1,2,2009,4.775316715,9.023305893,0.861746132,60.91999817,0.431467623,-0.196546704,0.854340255,0.504469514,0.403819829,0.492969662,Middle East,29.5,36,179.8285,0.2,75,87,27.9,78,78,0.13,3909,28.97,5.4,5.1,6.3,0,1,68.3
177,Iraq,1,1,2,2010,5.065462112,9.059176445,0.854117811,60.90000153,0.419064105,-0.121787421,0.858734667,0.496702403,0.430934399,0.340983748,Middle East,28.7,34.9,175.9375,0.16,72,77,28,74,74,0.13,4052,29.74,5.3,5.1,6.4,0,1,68.6
178,Iraq,1,1,2,2011,4.725366116,9.099401474,0.750748634,60.88000107,0.347414047,-0.066762261,0.780027211,0.473191261,0.557098687,0.366801709,Middle East,27.9,33.8,172.0465,0.18,77,77,28.1,82,79,0.13,4218,30.73,5.3,5.1,6.6,0,1,68.8
527,Jordan,0,1,2,2008,4.930058002,9.364168167,0.766224205,66.33999634,,-0.130018577,0.709403396,0.655700445,0.331201166,,Middle East,18.1,21.3,118.1005,0.58,97,90,28.4,98,97,0.13,4787,6.56,3.8,3.8,9.8,0,1,73.1
201,Jordan,0,1,2,2009,5.999859333,9.363092422,0.899033546,66.51999664,0.770953655,-0.077675059,0.739464462,0.587277114,0.264640778,,Middle East,17.6,20.7,116.897,0.56,98,90,28.5,98,98,0.13,4782,6.89,3.8,3.8,9.9,0,1,73.3
202,Jordan,0,1,2,2010,5.569942474,9.333929062,0.917988896,66.69999695,0.788073123,-0.048828077,,0.564373434,0.343418747,,Middle East,17.2,20.1,115.693,0.46,98,95,28.5,98,98,0.13,4644,7.26,3.8,3.8,9.8,0,1,73.4
203,Jordan,0,1,2,2011,5.539327621,9.30714035,0.87791878,66.87999725,0.759564519,-0.145267352,,0.55093354,0.26032415,,Middle East,16.7,19.5,114.4895,0.38,98,95,28.6,98,98,0.13,4521,7.66,3.8,3.9,9.9,0,1,73.6
537,Kazakhstan,0,1,2,2008,5.886419773,9.891931534,0.839467227,59.20000076,0.72658366,-0.222079709,0.899163663,0.613463759,0.15972586,0.686738968,Asia,21.9,24.7,257.3335,3.42,99,99,25.9,99,99,0.1,8555,15.78,2.4,2.5,11.5,0,1,67.1
206,Kazakhstan,0,1,2,2009,5.382563114,9.884036064,0.892997801,59.79999924,0.856448293,-0.251189083,0.844568431,0.594705462,0.128599972,0.711023688,Asia,20,22.5,247.1405,3.16,99,99,26,99,98,0.11,8488,16.09,2.3,2.5,11.5,0,1,68.4
207,Kazakhstan,1,1,2,2010,5.514286518,9.940361977,0.90378648,60.40000153,0.784851849,-0.216870248,0.82270366,0.655472875,0.148950696,0.706021845,Asia,18.2,20.4,236.9465,3.94,99,99,26,98,99,0.11,8979,16.32,2.3,2.5,11.4,0,1,68.5
208,Kazakhstan,1,1,2,2011,5.735662937,9.997436523,0.904971361,61,0.877888083,-0.23721464,0.801724195,0.622470558,0.154433981,0.716494739,Asia,16.4,18.3,226.753,3.41,99,99,26.1,99,99,0.12,9507,16.56,2.3,2.5,11.5,0,1,68.7
624,Malaysia,0,0,2,2008,5.806781769,9.908649445,0.802811384,65.23999786,0.77956599,0.042640433,0.883765519,0.727531135,0.185744986,0.663472474,Asia,6.9,8.1,128.5065,0.5,97,93,24.8,97,97,0.18,8074,27.24,8.5,8.3,9.4,0,1,74.1
236,Malaysia,0,0,2,2009,5.384701729,9.87524128,0.791666389,65.31999969,0.874319792,-0.010368506,0.858095229,0.740035117,0.163549751,0.818658829,Asia,6.9,8.1,127.9145,0.5,96,95,24.9,97,97,0.18,7809,27.74,8.3,8.2,9.6,0,1,74.3
237,Malaysia,1,0,2,2010,5.580281734,9.929952621,0.839095771,65.40000153,0.769190669,0.030644318,0.843691051,0.752467334,0.191947669,0.733622134,Asia,6.9,8.1,127.3235,0.52,96,95,25,96,96,0.17,8248,28.21,8.2,8,9.8,0,1,74.5
238,Malaysia,1,0,2,2011,5.786367416,9.965957642,0.770422995,65.48000336,0.840359092,-0.018023714,0.841504574,0.785432994,0.154874966,0.785984397,Asia,6.8,8,126.7315,0.54,96,95,25.1,96,96,0.16,8550,28.65,8,7.8,10.1,0,1,74.7
661,Mexico,0,1,2,2008,6.829036236,9.819932938,0.876327813,64.81999969,0.6774773,-0.12914446,0.784897923,0.774335682,0.201175302,0.413553208,North America,17.6,20.6,120.3315,4.27,97,94,27.4,96,96,0.16,9181,110.82,1.7,1.6,8,0,1,75.2
256,Mexico,0,1,2,2009,6.962819099,9.750859261,0.868220747,64.95999908,0.682463408,-0.077390425,0.764225543,0.763129532,0.19607076,0.446137846,North America,17,19.9,119.005,4.37,95,92,27.5,95,95,0.16,8569,112.46,1.7,1.6,8.2,0,1,75.1
257,Mexico,1,1,2,2010,6.802388668,9.786392212,0.876389682,65.09999847,0.778120756,-0.049904257,0.692891896,0.745259702,0.215494677,0.37198627,North America,16.4,19.2,117.679,4.05,93,91,27.5,95,95,0.16,8879,114.09,1.6,1.6,8,0,1,75.1
258,Mexico,1,1,2,2011,6.909515381,9.808419228,0.824064076,65.23999786,0.831368089,-0.100942686,0.697580218,0.700016022,0.227555886,0.383446395,North America,15.9,18.5,116.3525,4,98,97,27.6,97,97,0.16,9076,115.7,1.6,1.6,8.4,0,1,75
671,Moldova,0,1,2,2008,5.502756119,9.044728279,0.871552587,60.24000168,0.640617132,-0.056532498,0.925663769,0.565447807,0.283589244,0.208650127,Rest of Europe,15.3,17.8,217.857,7.72,97,92,26.5,96,90,0.43,2235,2.87,2.9,3.1,10.9,0,1,68.7
261,Moldova,0,1,2,2009,5.554374218,8.984114647,0.855883062,60.61999893,0.550858617,-0.099540114,0.925061643,0.538923979,0.306487501,0.235415936,Rest of Europe,15,17.4,207.4875,6.24,89,92,26.6,87,85,0.43,2103,2.86,2.9,3.1,11,0,1,69.1
262,Moldova,0,1,2,2010,5.589736462,9.053706169,0.847094715,61,0.598484814,-0.089281224,0.929309428,0.564043164,0.277520359,0.270747125,Rest of Europe,14.7,17.1,197.1175,6.92,98,92,26.6,97,90,0.42,2255,2.86,2.8,3,11.1,0,1,69.6
263,Moldova,0,1,2,2011,5.792262554,9.110836983,0.869413555,61.38000107,0.62802279,-0.082669236,0.956644356,0.553495347,0.284829497,0.238943219,Rest of Europe,14.5,16.8,186.748,8.21,96,92,26.7,96,93,0.41,2388,2.86,2.8,3,11.1,0,1,70.1
793,Panama,0,1,2,2008,6.930903435,9.934837341,0.922481298,67.18000031,0.707384586,0.057951551,0.88065052,0.776062965,0.150143132,0.310028732,Central America and Caribbean,18,21.1,124.016,6,86,79,26.3,86,86,0.4,9894,3.52,2,2,9.2,0,1,76.4
296,Panama,0,1,2,2009,7.033740044,9.929429054,0.905028522,67.33999634,0.721393645,0.012687565,0.889423907,0.839467406,0.144200027,0.602612615,Central America and Caribbean,17.5,20.5,122.8365,6.14,85,76,26.4,85,85,0.4,9840,3.58,2,1.9,9.3,0,1,76.6
297,Panama,1,1,2,2010,7.3214674,9.968494415,0.92753309,67.5,0.754523695,-0.01030933,0.87982583,0.840976536,0.146368757,0.536404312,Central America and Caribbean,17,19.9,121.6565,6.1,94,73,26.5,95,94,0.4,10232,3.64,2,1.9,9.3,0,1,76.8
298,Panama,0,1,2,2011,7.24808073,10.05831623,0.876284182,67.66000366,0.829012871,0.007102657,0.839684486,0.852716744,0.179641321,0.461056739,Central America and Caribbean,16.5,19.3,120.477,6.16,87,81,26.5,91,87,0.4,11194,3.71,2,1.9,9.3,0,1,77
803,Paraguay,0,1,2,2008,5.570061684,9.175508499,0.889281452,65.04000092,0.649068773,0.055489615,0.891085148,0.797779143,0.259037822,0.23880963,South America,23.2,27.7,155.128,6.89,87,84,25.8,85,89,0.15,4420,6.08,2.1,2.1,7.4,0,1,72.3
301,Paraguay,0,1,2,2009,5.576147079,9.15939045,0.900353849,65.12000275,0.717870176,0.026241815,0.857340276,0.803005695,0.186126411,0.520752966,South America,22.6,26.9,153.271,6.06,85,77,25.9,82,85,0.15,4350,6.16,2.1,2,7,0,1,72.5
302,Paraguay,1,1,2,2010,5.841174126,9.251065254,0.889152765,65.19999695,0.726262391,0.075159416,0.779914618,0.82604146,0.175859466,0.479620606,South America,22,26.2,151.414,6.27,89,77,26,89,89,0.15,4767,6.25,2.1,2,7.7,0,1,72.7
303,Paraguay,0,1,2,2011,5.677080631,9.279371262,0.869149685,65.27999878,0.665864289,0.189435244,0.755997002,0.823038757,0.190262824,0.367264926,South America,21.4,25.4,149.557,6.14,89,78,26.2,89,89,0.15,4904,6.33,2.1,2,7.8,0,1,72.9
813,Peru,0,1,2,2008,5.129230976,9.142193794,0.777106822,66.98000336,0.637672365,-0.068087906,0.89643985,0.701445818,0.353949875,0.173054844,South America,17.1,22,135.759,4.95,93,56,25.8,93,93,0.17,4805,28.56,1.2,1.2,8.4,0,1,73.8
306,Peru,0,1,2,2009,5.518846989,9.145059586,0.79869628,67.23999786,0.638375103,-0.080154046,0.880333722,0.757985055,0.320298076,0.174843535,South America,16.2,20.8,134.0135,5.04,93,42,25.9,92,93,0.16,4819,28.79,1.2,1.2,8.4,0,1,74.1
307,Peru,0,1,2,2010,5.612785339,9.216964722,0.811914384,67.5,0.756706417,-0.061523955,0.880594134,0.744028509,0.330243468,0.192308694,South America,15.3,19.8,132.268,5.23,93,56,26,92,93,0.15,5178,29.03,1.1,1.1,8.4,0,1,74.4
308,Peru,0,1,2,2011,5.892457485,9.270196915,0.756304562,67.76000214,0.772759497,-0.124476716,0.823664963,0.74246645,0.330921263,0.293339759,South America,14.6,18.8,130.5225,5.22,91,70,26.1,91,91,0.13,5461,29.26,1.1,1.1,9.1,0,1,74.7
823,Philippines,0,1,2,2008,4.589065075,8.633817673,0.798442245,61.47999954,0.860842586,0.082235992,0.816584587,0.773812234,0.384014696,0.566654027,Asia,25.3,32.5,208.4315,4.15,88,22,22.6,87,91,0.03,2310,90.9,1,9.7,9,0,1,69.5
311,Philippines,1,1,2,2009,4.879910946,8.631697655,0.775170922,61.54000092,0.87360549,0.003180879,0.804578125,0.791430533,0.311330199,0.598850965,Asia,25,32.1,207.4785,4.34,85,19,22.7,87,87,0.04,2305,92.41,1,9.7,9,0,1,69.7
312,Philippines,0,1,2,2010,4.941514015,8.685816765,0.804861128,61.59999847,0.893350542,0.032479588,0.812448382,0.828575552,0.293918312,0.554057181,Asia,24.8,31.7,206.525,4.73,77,10,22.7,88,79,0.05,2433,93.97,1,9.7,8.9,0,1,69.8
313,Philippines,0,1,2,2011,4.993956566,8.706755638,0.788763285,61.65999985,0.882837474,0.071936019,0.782946467,0.807783842,0.358326375,0.722774804,Asia,24.5,31.3,205.572,4.85,87,36,22.8,88,87,0.05,2484,95.57,1,9.7,9,0,1,70
316,Poland,0,0,2,2009,5.772027493,10.04606915,0.916798174,66.91999817,0.820649087,0.071381621,0.897762001,0.649224102,0.245965257,0.284511507,European Union,5.5,6.3,135.045,10.17,98,95,26.1,96,99,0.08,10437,38.15,2.1,2.3,12.1,1,0,75.7
317,Poland,0,0,2,2010,5.887029648,10.08564854,0.95506531,67.09999847,0.794900477,-0.000303453,0.904697299,0.685517788,0.234237015,0.333801061,European Union,5.1,6,129.3125,10.07,98,94,26.1,96,99,0.08,10859,38.04,2.1,2.2,12.2,1,0,76.2
318,Poland,0,0,2,2011,5.646204948,10.13158989,0.904578626,67.27999878,0.868148923,-0.068704925,0.907953143,0.658624232,0.223810226,0.27237618,European Union,4.9,5.7,126.5725,10.24,98,95,26.2,96,99,0.08,11369,38.06,2,2.2,12.3,1,0,76.7
927,South Africa,0,0,2,2008,5.346306801,9.53322506,0.809542179,47.79999924,0.748846471,-0.103255332,0.865791023,0.712142289,0.206242844,0.461442381,Africa,43,68.9,498.352,7.46,76,54,26.8,77,79,10.58,6171,49.78,8.9,1.7,9.7,0,1,55.4
346,South Africa,0,0,2,2009,5.218430996,9.503808975,0.87735945,48.70000076,0.739409983,-0.161607936,0.904342353,0.655523777,0.230895981,0.522421479,Africa,38.4,60.3,473.875,7.25,74,63,26.9,75,76,10.13,5992,50.48,8.1,9.8,10.1,0,1,56.5
347,South Africa,0,0,2,2010,4.652428627,9.519201279,0.917056024,49.59999847,0.738905966,-0.209991843,0.79062891,0.698225856,0.123753376,0.593964458,Africa,34.4,52,449.3985,7.07,71,55,26.9,72,72,9.52,6085,51.22,7.3,8.9,10,0,1,57.7
348,South Africa,0,0,2,2011,4.930511475,9.535149574,0.857703149,50.5,0.835448027,-0.161942363,0.819181919,0.720048368,0.230213523,0.627495944,Africa,32.1,45.6,424.9215,7.17,76,54,27,71,69,9.01,6183,52,6.6,8,9.9,0,1,58.9
947,Sri Lanka,0,1,2,2008,4.430846214,9.020895004,0.815702736,63.24000168,0.833835602,0.161686391,0.861397326,0.655605435,0.152587533,0.720333278,Asia,10.5,12.2,124.8175,2.1,98,97,22.3,98,98,0.02,2675,19.98,15.4,15.4,11,0,1,75.2
356,Sri Lanka,0,1,2,2009,4.212026596,9.048714638,0.829611897,63.72000122,0.798871219,0.305119783,0.689926445,0.660928369,0.172400951,0.916601896,Asia,13.9,21.3,122.485,2.05,97,97,22.4,97,97,0.02,2750,20.12,15.3,15.4,10.9,0,1,75.3
357,Sri Lanka,0,1,2,2010,3.976905107,9.118977547,0.814367235,64.19999695,0.738208532,0.25754267,0.769477904,0.70351088,0.163471773,0.807552159,Asia,9.8,11.4,120.153,2.31,99,99,22.5,99,99,0.01,2950,20.26,15.3,15.3,10.8,0,1,75.4
358,Sri Lanka,0,1,2,2011,4.180569172,9.192952156,0.841938436,64.68000031,0.82263726,0.143791214,0.760300696,0.73049593,0.174926728,0.855967104,Asia,9.4,10.9,117.8205,3.03,99,99,22.6,99,99,0.01,3177,20.4,15.3,15.3,10.8,0,1,75.6
993,Thailand,1,0,2,2008,5.636471272,9.519333839,0.831711292,66.73999786,0.867833734,0.424182832,0.933372617,0.777418733,0.145058736,0.406274229,Asia,12.8,14.9,165.9995,7.54,98,91,23.6,99,99,0.27,4884,66.53,8.5,8.6,7.3,0,1,73.3
376,Thailand,1,0,2,2009,5.475645065,9.507368088,0.89324528,66.91999817,0.868223727,0.523619711,0.903822482,0.8082816,0.166086391,0.511181891,Asia,12.2,14.2,163.0875,6.74,98,91,23.7,99,99,0.25,4826,66.87,8.3,8.5,7.5,0,1,73.8
377,Thailand,0,0,2,2010,6.216702938,9.57491684,0.897651255,67.09999847,0.859636426,0.534634352,0.916693389,0.821447611,0.181523174,0.683404207,Asia,11.7,13.6,160.1755,6.19,98,91,23.8,99,99,0.23,5164,67.2,8.2,8.3,7.7,0,1,74.2
378,Thailand,0,0,2,2011,6.663609028,9.578482628,0.884350836,67.27999878,0.92688185,0.398804367,0.923195601,0.834183812,0.116675928,0.539867997,Asia,11.2,13,157.2635,6.61,98,91,23.9,99,99,0.22,5182,67.52,8.1,8.2,7.5,0,1,74.6
381,Tunisia,1,1,2,2009,5.025470257,9.262184143,,66.22000122,0.781496286,-0.124317981,0.722210646,,,,Africa,16.2,18.9,99.6225,1.36,99,97,25.8,99,99,0.04,3881,10.53,6.3,6.3,6.4,0,1,74.9
382,Tunisia,1,1,2,2010,5.130520821,9.286338806,0.863187671,66.30000305,0.623592854,-0.140940055,0.732379258,0.696831405,0.248912811,0.903174698,Africa,15.8,18.4,98.3545,1.26,98,98,25.9,98,98,0.04,3955,10.64,6.3,6.3,6.7,0,1,75
383,Tunisia,0,1,2,2011,4.87648201,9.259581566,0.714891434,66.37999725,0.603123665,-0.204654694,0.912656903,0.513189495,0.248196974,0.472290635,Africa,15.5,18,97.086,1.25,98,96,25.9,98,98,0.04,3836,10.74,6.4,6.3,6.9,0,1,75.2
1035,Ukraine,0,1,2,2008,5.172380447,9.487659454,0.860013783,61.56000137,0.486626983,-0.266052991,0.929175198,0.544517279,0.185805932,0.159723967,Rest of Europe,11.1,12.9,268.4445,9.41,84,95,26.2,91,90,0.31,2599,46.26,2.5,2.6,11.3,0,1,68.3
391,Ukraine,1,1,2,2009,5.1656394,9.332415581,0.845293224,61.88000107,0.460348487,-0.242595628,0.962244451,0.544606388,0.189013854,0.086690761,Rest of Europe,10.6,12.3,230.8795,8.97,66,68,26.2,74,71,0.3,2215,46.05,2.5,2.6,11.3,0,1,69.2
392,Ukraine,1,1,2,2010,5.057561398,9.374014854,0.883555114,62.20000076,0.483833194,-0.189893872,0.953752279,0.472101361,0.227200434,0.263286889,Rest of Europe,10.1,11.7,213.7115,7.77,48,41,26.3,57,52,0.28,2315,45.87,2.4,2.5,11.3,0,1,70.3
393,Ukraine,0,1,2,2011,5.083132744,9.430825233,0.859458685,62.52000046,0.57866931,-0.228899032,0.932535291,0.538531721,0.21964775,0.236262515,Rest of Europe,9.6,11.2,203.8,8.74,21,56,26.3,54,50,0.26,2450,45.71,2.4,2.5,11.3,0,1,70.8
1073,Uruguay,0,0,2,2008,5.663869858,9.75652504,0.879113853,66.94000244,0.807930231,-0.150573879,0.596766949,0.684607685,0.26400578,0.590951741,South America,10.3,11.8,114.3705,6.54,94,93,26.5,94,94,0.22,12022,3.34,1.6,1.5,8.4,0,1,76.4
411,Uruguay,1,0,2,2009,6.296222687,9.795257568,0.923861444,67.01999664,0.82504946,-0.126018703,0.543947875,0.722020388,0.254544437,0.655707836,South America,9.7,11.2,113.037,6.45,95,93,26.6,95,95,0.23,12496,3.35,1.5,1.5,8.4,0,1,76.6
412,Uruguay,1,0,2,2010,6.062010765,9.867535591,0.893039763,67.09999847,0.832241356,-0.165847778,0.47137624,0.738478601,0.231179178,0.728630126,South America,9.3,10.7,111.704,5.99,95,92,26.7,95,95,0.24,13433,3.36,1.5,1.5,8.4,0,1,76.8
413,Uruguay,0,0,2,2011,6.554047108,9.914999962,0.891282439,67.18000031,0.851441562,-0.087857969,0.556286037,0.702420473,0.252250046,0.631276906,South America,8.9,10.3,110.371,6.02,95,93,26.8,95,95,0.23,14086,3.37,1.5,1.5,8.4,0,1,76.9
1092,Vietnam,0,1,2,2008,5.480425358,8.439886093,0.804560363,64.33999634,0.888624668,0.200217381,0.789237559,0.623606741,0.217537612,0.866248786,Asia,18.8,23.5,133.6115,1.78,87,65,20.8,93,93,0.19,1833,86.24,14.7,15.7,7,0,1,74.6
421,Vietnam,1,1,2,2009,5.304264545,8.482665062,0.815026462,64.41999817,0.834133863,-0.062267762,0.837869763,0.480906844,0.189930111,0.863494039,Asia,18.5,23.2,132.423,1.97,94,65,20.9,97,96,0.18,1913,87.09,14.6,15.5,8,0,1,74.7
422,Vietnam,1,1,2,2010,5.295780659,8.534917831,0.786611378,64.5,0.831494451,-0.006215793,0.74263674,0.670660913,0.215798423,0.850196421,Asia,18.3,22.9,131.235,2.26,88,65,21,94,93,0.17,2016,87.97,14.5,15.4,7.5,0,1,74.8
423,Vietnam,0,1,2,2011,5.767344475,8.585229874,0.897655129,64.58000183,0.818404377,0.104498833,0.742161632,0.493658513,0.192669109,0.772131264,Asia,18.1,22.7,130.047,2.46,95,65,21.2,96,95,0.16,2123,88.87,14.4,15.2,7.6,0,1,74.9
